##
## Parameters for 188Os
##
## Level density
##
ptable           76 186   0.80024   0
ctableadjust     76 186   0.00000   0
ptableadjust     76 186   0.00000   0
g                76 186  12.40000
gp               76 186   5.06667
gn               76 186   7.33333
gnadjust         76 186   1.00000
gpadjust         76 186   1.00000
gadjust          76 186   1.00000
##
## Gamma-ray
##
gamgam           76 186   0.07400
gamgamadjust     76 186   1.00000
sgr              76 186 308.000 E1
egr              76 186  13.030 E1
ggr              76 186   3.130 E1
sgradjust        76 186   1.000 E1
egradjust        76 186   1.000 E1
ggradjust        76 186   1.000 E1
upbendc          76 186 3.50000E-08 M1
sgr              76 186 302.000 E1 2
egr              76 186  15.260 E1 2
ggr              76 186   3.380 E1 2
sgradjust        76 186   1.000 E1 2
egradjust        76 186   1.000 E1 2
ggradjust        76 186   1.000 E1 2
sgr              76 186   2.336 M1
egr              76 186   7.534 M1
ggr              76 186   4.000 M1
sgradjust        76 186   1.000 M1
egradjust        76 186   1.000 M1
ggradjust        76 186   1.000 M1
sgr              76 186   0.403 E2
egr              76 186  11.037 E2
ggr              76 186   3.878 E2
sgradjust        76 186   1.000 E2
egradjust        76 186   1.000 E2
ggradjust        76 186   1.000 E2
upbendc          76 186 0.00000E+00 M2
sgr              76 186   0.002 M2
egr              76 186   7.534 M2
ggr              76 186   4.000 M2
sgradjust        76 186   1.000 M2
egradjust        76 186   1.000 M2
ggradjust        76 186   1.000 M2
##--------------------------------------------
##
## Parameters for 184Re
##
## Level density
##
a                75 184  23.19050
aadjust          75 184   1.00000
gammald          75 184   0.07614
pair             75 184   0.00000
Pshift           75 184   0.00000   0
Pshiftadjust     75 184   0.00000   0
deltaW           75 184   0.98793   0
Ntop             75 184  16   0
Nlow             75 184   8   0
s2adjust         75 184   1.00000   0
ctable           75 184   0.00000   0
ptable           75 184   0.25831   0
ctableadjust     75 184   0.00000   0
ptableadjust     75 184   0.00000   0
g                75 184  12.26667
gp               75 184   5.00000
gn               75 184   7.26667
gnadjust         75 184   1.00000
gpadjust         75 184   1.00000
gadjust          75 184   1.00000
##
## Gamma-ray
##
gamgam           75 184   0.06600
gamgamadjust     75 184   1.00000
sgr              75 184 498.354 E1
egr              75 184  14.123 E1
ggr              75 184   4.086 E1
sgradjust        75 184   1.000 E1
egradjust        75 184   1.000 E1
ggradjust        75 184   1.000 E1
upbendc          75 184 3.50000E-08 M1
sgr              75 184   2.315 M1
egr              75 184   7.547 M1
ggr              75 184   4.000 M1
sgradjust        75 184   1.000 M1
egradjust        75 184   1.000 M1
ggradjust        75 184   1.000 M1
sgr              75 184   0.393 E2
egr              75 184  11.076 E2
ggr              75 184   3.902 E2
sgradjust        75 184   1.000 E2
egradjust        75 184   1.000 E2
ggradjust        75 184   1.000 E2
upbendc          75 184 0.00000E+00 M2
sgr              75 184   0.002 M2
egr              75 184   7.547 M2
ggr              75 184   4.000 M2
sgradjust        75 184   1.000 M2
egradjust        75 184   1.000 M2
ggradjust        75 184   1.000 M2
##--------------------------------------------
##
## Parameters for 186W 
##
## Level density
##
a                74 186  23.78744
aadjust          74 186   1.00000
gammald          74 186   0.07587
pair             74 186   1.75977
Pshift           74 186   0.00000   0
Pshiftadjust     74 186   0.00000   0
deltaW           74 186   1.23155   0
Ntop             74 186  18   0
Nlow             74 186   2   0
s2adjust         74 186   1.00000   0
ctable           74 186   0.00000   0
ptable           74 186   0.48163   0
ctableadjust     74 186   0.00000   0
ptableadjust     74 186   0.00000   0
g                74 186  12.40000
gp               74 186   4.93333
gn               74 186   7.46667
gnadjust         74 186   1.00000
gpadjust         74 186   1.00000
gadjust          74 186   1.00000
##
## Gamma-ray
##
gamgam           74 186   0.07400
gamgamadjust     74 186   1.00000
sgr              74 186 211.000 E1
egr              74 186  12.590 E1
